date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:19:32	78059/78059	---MCZ	200	added ('OK')	text/html	etag:cacheable:8313c9ee9b2f170a33708c252ebdca03	https://vajillasbynuriablanco.com/pages/personalizar	E:/Web-Dev-Pro/Misc/Hackathon/vajillasbynuriablanco.com/pages/personalizar.html	(from )
15:19:32	452/452	---MCZ	200	added ('OK')	text/plain	etag:cacheable:4f35ca1765fc0951c18bc8d9d5dfeabc	https://vajillasbynuriablanco.com/robots.txt		(from )
15:19:33	77337/77337	---MCZ	404	error ('Not%20Found')	text/html	etag:cacheable:c1fae919778c3291c4ddfb5b6732e6a4	https://vajillasbynuriablanco.com/pages/POST	E:/Web-Dev-Pro/Misc/Hackathon/vajillasbynuriablanco.com/pages/POST	(from https://vajillasbynuriablanco.com/pages/personalizar)
15:19:33	76314/76314	---M-Z	200	added ('OK')	application/javascript	date:Wed,%2011%20Nov%202020%2020:01:12%20GMT	https://cdn.shopify.com/s/javascripts/tricorder/trekkie.storefront.4fd331dc159cfad1401566017b4500c5e0362e8b.min.js	E:/Web-Dev-Pro/Misc/Hackathon/cdn.shopify.com/s/javascripts/tricorder/trekkie.storefront.4fd331dc159cfad1401566017b4500c5e0362e8b.min.js	(from https://vajillasbynuriablanco.com/pages/personalizar)
15:19:33	92981/92981	---M-Z	200	added ('OK')	application/javascript	date:Wed,%2028%20Oct%202020%2016:07:03%20GMT	https://cdn.shopify.com/shopifycloud/boomerang/shopify-boomerang-1.0.0.min.js	E:/Web-Dev-Pro/Misc/Hackathon/cdn.shopify.com/shopifycloud/boomerang/shopify-boomerang-1.0.0.min.js	(from https://vajillasbynuriablanco.com/pages/personalizar)
15:19:35	7437/7437	---M-Z	200	added ('OK')	application/javascript	date:Fri,%2030%20Oct%202020%2014:01:21%20GMT	http://cdn.shopify.com/shopifycloud/shopify/assets/shop_events_listener-68ba3f1321f00bf07cb78a03841621079812265e950cdccade3463749ea2705e.js	E:/Web-Dev-Pro/Misc/Hackathon/cdn.shopify.com/shopifycloud/shopify/assets/shop_events_listener-68ba3f1321f00bf07cb78a03841621079812265e950cdccade3463749ea2705e.js	(from https://vajillasbynuriablanco.com/pages/personalizar)
15:19:35	1454/1454	---M-Z	200	added ('OK')	application/javascript	date:Wed,%2004%20Nov%202020%2021:24:50%20GMT	https://cdn.shopify.com/shopifycloud/storefront-recaptcha-v3/v0.1/index.js	E:/Web-Dev-Pro/Misc/Hackathon/cdn.shopify.com/shopifycloud/storefront-recaptcha-v3/v0.1/index.js	(from https://vajillasbynuriablanco.com/pages/personalizar)
15:19:36	9372/9372	---M-Z	200	added ('OK')	application/javascript	date:Fri,%2016%20Oct%202020%2015:31:32%20GMT	http://cdn.shopify.com/shopifycloud/shopify/assets/storefront/load_feature-24ff1222c9aa13bb217653c0d3ea28c40a796a280e6da29ad421eec2a6075c86.js	E:/Web-Dev-Pro/Misc/Hackathon/cdn.shopify.com/shopifycloud/shopify/assets/storefront/load_feature-24ff1222c9aa13bb217653c0d3ea28c40a796a280e6da29ad421eec2a6075c86.js	(from https://vajillasbynuriablanco.com/pages/personalizar)
15:19:36	31728/31728	---M-Z	200	added ('OK')	application/javascript	date:Fri,%2016%20Oct%202020%2015:50:07%20GMT	http://cdn.shopify.com/shopifycloud/shopify/assets/shopify_pay/storefront-21b5dddfc8b64c1ad68cee3ba7448d1ffa15c24e969ebc1fbccf1a3784b659ad.js?v=20190107	E:/Web-Dev-Pro/Misc/Hackathon/cdn.shopify.com/shopifycloud/shopify/assets/shopify_pay/storefront-21b5dddfc8b64c1ad68cee3ba7448d1ffa15c24e969ebc1fbccf1a3784b659ad99c2.js	(from https://vajillasbynuriablanco.com/pages/personalizar)
15:19:36	37632/37632	---M-Z	200	added ('OK')	application/javascript	date:Fri,%2016%20Oct%202020%2015:31:32%20GMT	http://cdn.shopify.com/shopifycloud/shopify/assets/storefront/features-87e8399988880142f2c62771b9d8f2ff6c290b3ff745dd426eb0dfe0db9d1dae.js	E:/Web-Dev-Pro/Misc/Hackathon/cdn.shopify.com/shopifycloud/shopify/assets/storefront/features-87e8399988880142f2c62771b9d8f2ff6c290b3ff745dd426eb0dfe0db9d1dae.js	(from https://vajillasbynuriablanco.com/pages/personalizar)
15:19:36	47051/47051	---MC-	200	added ('OK')	text/javascript	date:Fri,%2023%20Oct%202020%2003:00:57%20GMT	https://www.google-analytics.com/analytics.js	E:/Web-Dev-Pro/Misc/Hackathon/www.google-analytics.com/analytics.js	(from https://vajillasbynuriablanco.com/pages/personalizar)
15:19:39	183149/183149	---M-Z	200	added ('OK')	text/css	date:Thu,%2012%20Nov%202020%2009:49:24%20GMT	http://cdn.shopify.com/s/files/1/0080/9877/5107/t/2/assets/theme.scss.css?v=2287240384114685972	E:/Web-Dev-Pro/Misc/Hackathon/cdn.shopify.com/s/files/1/0080/9877/5107/t/2/assets/theme.scss2393.css	(from https://vajillasbynuriablanco.com/pages/personalizar)
15:19:40	24117/24117	---M-Z	200	added ('OK')	application/javascript	date:Sat,%2014%20Dec%202019%2020:10:31%20GMT	http://cdn.shopify.com/s/files/1/0080/9877/5107/t/2/assets/lazysizes.min.js?v=17435836340443258698	E:/Web-Dev-Pro/Misc/Hackathon/cdn.shopify.com/s/files/1/0080/9877/5107/t/2/assets/lazysizes.min799a.js	(from https://vajillasbynuriablanco.com/pages/personalizar)
15:19:40	222/222	---M-Z	200	added ('OK')	text/javascript	date:Wed,%2004%20Nov%202020%2015:43:06%20GMT	https://cdn.polyfill.io/v2/polyfill.min.js?features=fetch,Element.prototype.closest,Element.prototype.remove,Element.prototype.classList,Array.prototype.includes,Array.prototype.fill,Object.assign,CustomEvent,IntersectionObserver,IntersectionObserverEntry	E:/Web-Dev-Pro/Misc/Hackathon/cdn.polyfill.io/v2/polyfill.mindd08.js	(from https://vajillasbynuriablanco.com/pages/personalizar)
15:19:44	187079/187079	---MCZ	200	added ('OK')	application/javascript	date:Wed,%2011%20Dec%202019%2013:32:01%20GMT	http://cdn.shopify.com/s/files/1/0080/9877/5107/t/2/assets/libs.min.js?v=8846682211898979100	E:/Web-Dev-Pro/Misc/Hackathon/cdn.shopify.com/s/files/1/0080/9877/5107/t/2/assets/libs.min5a14.js	(from https://vajillasbynuriablanco.com/pages/personalizar)
15:19:44	1480/1480	---M-Z	200	added ('OK')	application/javascript	date:Thu,%2012%20Dec%202019%2019:34:59%20GMT	http://cdn.shopify.com/s/files/1/0080/9877/5107/t/2/assets/custom.js?v=8149745943633268839	E:/Web-Dev-Pro/Misc/Hackathon/cdn.shopify.com/s/files/1/0080/9877/5107/t/2/assets/custom5cf0.js	(from https://vajillasbynuriablanco.com/pages/personalizar)
15:19:48	135702/135702	---M-Z	200	added ('OK')	application/javascript	date:Wed,%2011%20Dec%202019%2009:26:00%20GMT	http://cdn.shopify.com/s/files/1/0080/9877/5107/t/2/assets/theme.min.js?v=3860697310810674912	E:/Web-Dev-Pro/Misc/Hackathon/cdn.shopify.com/s/files/1/0080/9877/5107/t/2/assets/theme.min045f.js	(from https://vajillasbynuriablanco.com/pages/personalizar)
15:19:49	95714/95714	---MCZ	200	added ('OK')	text/html	etag:cacheable:8d88e617530fa17f6198c209f45d4499	https://vajillasbynuriablanco.com/pages/proyectos-a-medida	E:/Web-Dev-Pro/Misc/Hackathon/vajillasbynuriablanco.com/pages/proyectos-a-medida.html	(from https://vajillasbynuriablanco.com/pages/personalizar)
15:19:52	79076/79076	---MCZ	200	added ('OK')	text/html	etag:cacheable:22df40c1b283f37a14c39d3b08567550	https://vajillasbynuriablanco.com/pages/contacto	E:/Web-Dev-Pro/Misc/Hackathon/vajillasbynuriablanco.com/pages/contacto.html	(from https://vajillasbynuriablanco.com/pages/personalizar)
15:19:52	286/286	---M--	200	added ('OK')	image/jpeg	date:Thu,%2012%20Nov%202020%2009:49:38%20GMT	http://cdn.shopify.com/s/files/1/0080/9877/5107/files/menu_02_08eabf18-a6bc-436f-91cb-2e1a8d8ddf99_1x1.jpg?v=1541962972	E:/Web-Dev-Pro/Misc/Hackathon/cdn.shopify.com/s/files/1/0080/9877/5107/files/menu_02_08eabf18-a6bc-436f-91cb-2e1a8d8ddf99_1x185ee.jpg	(from https://vajillasbynuriablanco.com/pages/personalizar)
